500	250000
1000	1000000
1500	2250000
2000	4000000
2500	6250000
3000	9000000
3500	12250000
4000	16000000
4500	20250000
5000	25000000
5500	30250000
6000	36000000
6500	42250000
7000	49000000
7500	56250000
8000	64000000
8500	72250000
9000	81000000
9500	90250000
10000	100000000
10500	110250000
11000	121000000
11500	132250000
12000	144000000
12500	156250000
13000	169000000
13500	182250000
14000	196000000
14500	210250000
15000	225000000
15500	240250000
16000	256000000
16500	272250000
17000	289000000
17500	306250000
18000	324000000
18500	342250000
19000	361000000
19500	380250000
20000	400000000
20500	420250000
21000	441000000
21500	462250000
22000	484000000
22500	506250000
23000	529000000
23500	552250000
24000	576000000
24500	600250000
25000	625000000
25500	650250000
26000	676000000
26500	702250000
27000	729000000
27500	756250000
28000	784000000
28500	812250000
29000	841000000
29500	870250000
30000	900000000
