500	0.000551
1000	0.002045
1500	0.004664
2000	0.008399
2500	0.013192
3000	0.019471
3500	0.027157
4000	0.036648
4500	0.047910
5000	0.061093
5500	0.076225
6000	0.092768
6500	0.111100
7000	0.131224
7500	0.152862
8000	0.176378
8500	0.202531
9000	0.232690
9500	0.257262
10000	0.285671
10500	0.318782
11000	0.349868
11500	0.385182
12000	0.424239
12500	0.461522
13000	0.503758
13500	0.545953
14000	0.588627
14500	0.629141
15000	0.680546
15500	0.726756
16000	0.775182
16500	0.825783
17000	0.877972
17500	0.930628
18000	0.991866
18500	1.048014
19000	1.108002
19500	1.165794
20000	1.230185
20500	1.296533
21000	1.362062
21500	1.421717
22000	1.495428
22500	1.568776
23000	1.637231
23500	1.712466
24000	1.786342
24500	1.868477
25000	1.947088
25500	2.033442
26000	2.112099
26500	2.193954
27000	2.276267
27500	2.371436
28000	2.448937
28500	2.538945
29000	2.632760
29500	2.726668
30000	2.828635
