500	0.000658
1000	0.002561
1500	0.005521
2000	0.009832
2500	0.013534
3000	0.018256
3500	0.023110
4000	0.027577
4500	0.032341
5000	0.038517
5500	0.046708
6000	0.055652
6500	0.065354
7000	0.075710
7500	0.087017
8000	0.099094
8500	0.112014
9000	0.125621
9500	0.140341
10000	0.155691
10500	0.175063
11000	0.188840
11500	0.206604
12000	0.225052
12500	0.244426
13000	0.264443
13500	0.285356
14000	0.307106
14500	0.329528
15000	0.352793
15500	0.376799
16000	0.401570
16500	0.427309
17000	0.453485
17500	0.480730
18000	0.508675
18500	0.537472
19000	0.567026
19500	0.597341
20000	0.628448
20500	0.661766
21000	0.693094
21500	0.726654
22000	0.760742
22500	0.795820
23000	0.831502
23500	0.868168
24000	0.905599
24500	0.943826
25000	0.982669
25500	1.022575
26000	1.063106
26500	1.104439
27000	1.146336
27500	1.189278
28000	1.233131
28500	1.277718
29000	1.322705
29500	1.368686
30000	1.415330
