age,gender,life,marital,model,kapoor family,comedy,dancing,action,romantic,reality show,height,main character,supporting role,villian,doctrate,director,producer,name
44,M,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,Farhan Akhtar
69,F,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Farida Jalal
27,F,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,Fatima Sana Shaikh
37,M,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fawad Khan
79,M,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Feroz Khan
34,F,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Geeta Basra
31,F,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Genelia Dsouza
55,M,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,Govinda
39,F,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gul Panag
63,M,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Gulshan Grover
93,M,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Guru Dutt
